blockhash,time_sent,peer_id,tcp_window_size,received_size,received_bytes_missing,received_tx_missing,send_size,prefill_size,window_bytes_used,window_bytes_available,rtts_without_prefill
00000000000000000000769be7a55dd4b4ccaa41dd136ee88f238e9df1490f50,2025-06-21 03:59:50,10,9800,16909,0,0,16689,-220,7109,2691,1
000000000000000000000ec60138c852fe7dffba1328b6d2daa9a8856fac4f43,2025-06-21 04:50:10,14,14520,14432,0,0,13902,-530,14432,88,0
000000000000000000006acacc19c791ac13bbea8d9522626da0fa1c64340755,2025-06-21 05:43:38,1,14480,10371,0,0,10371,0,10371,4109,0
000000000000000000006acacc19c791ac13bbea8d9522626da0fa1c64340755,2025-06-21 05:43:38,9,14400,10371,0,0,10371,0,10371,4029,0
000000000000000000006acacc19c791ac13bbea8d9522626da0fa1c64340755,2025-06-21 05:43:39,10,14000,10371,0,0,10371,0,10371,3629,0
00000000000000000001c11be64761b1b672e2f8e2f1a7c80e2622de7fc2b654,2025-06-21 05:58:41,21,14200,14327,0,0,14327,0,127,14073,1
00000000000000000000352f1134afe4974b2e3178ea23ceaeb31551b9227192,2025-06-21 06:24:05,1,14480,5679,0,0,5679,0,5679,8801,0
00000000000000000000a902feb77b08a87b8aa4f7a00a3c7c94e273c6e9283f,2025-06-21 07:03:23,21,4260,13271,0,0,13271,0,491,3769,3
00000000000000000000ffa19bba47274b4d5780c5858615ec4b4834345106f3,2025-06-21 07:49:58,21,9940,16895,0,0,16724,-171,6955,2985,1
00000000000000000000a743c01bbfa1d7fc6184f6d85b5e78650a7652d93c6b,2025-06-21 08:05:08,21,14200,20026,0,0,20026,0,5826,8374,1
00000000000000000001e6d5f8459c42ca56c1feb8933df0ffda96154122b6d0,2025-06-21 08:18:34,21,14200,25782,0,0,22502,-3280,11582,2618,1
00000000000000000000c619a3cd366a139f4c57233636b4dc32a7d4abdae5e6,2025-06-21 08:45:04,12,14480,9593,0,0,9340,-253,9593,4887,0
00000000000000000001b793aaa7f048870b500c3d9fbdc6097b9fb2d39fc392,2025-06-21 08:45:56,10,14000,12049,2106,9,7939,-4110,12049,1951,0
000000000000000000019c8d1f840164100bd0f1eaeb7bd08180134505448450,2025-06-21 08:49:37,10,14000,3377,0,0,3377,0,3377,10623,0
000000000000000000010d44cba368e57bc32f9fb8623ece637ad6bd09ba7d01,2025-06-21 10:25:16,10,14000,3042,0,0,2799,-243,3042,10958,0
00000000000000000001af3a09fe935b7059700da01fe34f7d649a89795ef6c6,2025-06-21 10:55:25,1,14480,11426,0,0,11426,0,11426,3054,0
000000000000000000005143daebbe65d4c4b340b17a9fc45b804b6940427132,2025-06-21 11:44:25,21,2840,17554,0,0,17554,0,514,2326,6
000000000000000000017e88f295935d177bcb1a5b4660e6a0cf70671b88f466,2025-06-21 14:23:05,10,14000,21856,0,0,21856,0,7856,6144,1
000000000000000000017e88f295935d177bcb1a5b4660e6a0cf70671b88f466,2025-06-21 14:23:05,21,14200,21856,0,0,21856,0,7656,6544,1
0000000000000000000165e5e582dace764b40bc1fb54b1bc14d10f0e496584b,2025-06-21 15:03:25,21,14200,16062,0,0,15879,-183,1862,12338,1
0000000000000000000165e5e582dace764b40bc1fb54b1bc14d10f0e496584b,2025-06-21 15:03:26,10,14000,16062,0,0,15879,-183,2062,11938,1
00000000000000000001e752dddbc93dabea54e3acde4412b12c355abbf116d2,2025-06-21 17:24:05,1,14480,26678,0,0,26250,-428,12198,2282,1
00000000000000000001e752dddbc93dabea54e3acde4412b12c355abbf116d2,2025-06-21 17:24:05,14,14520,26678,0,0,26250,-428,12158,2362,1
00000000000000000001d432c89de0714380113a91486284e5268cd4c665b16a,2025-06-21 18:36:15,10,4200,2140,0,0,2140,0,2140,2060,0
0000000000000000000054912a2333704a542f965d2c0c6ca15abaea2a074c69,2025-06-22 01:14:18,9,14400,5581,0,0,5581,0,5581,8819,0
00000000000000000001f7bdead2641151162c4471ae19fb64b7bf1d444b2598,2025-06-22 12:51:00,14,14520,27691,0,0,25453,-2238,13171,1349,1
00000000000000000001802d65a66ee452d95db9e7a6402ab9e6d135e76060a6,2025-06-22 13:02:59,21,14200,19664,0,0,18561,-1103,5464,8736,1
0000000000000000000159b8331f67fcdb98b7655d94aee1a4fa17abf92dc2ce,2025-06-22 17:13:48,1,14480,26282,0,0,25449,-833,11802,2678,1
00000000000000000000fe64de404b04b75742e32330f653d1de81efca4311dd,2025-06-23 02:53:20,1,14480,2956,0,0,2785,-171,2956,11524,0
000000000000000000018978ba48be1d69f949e61efa4f65395c670415a346cb,2025-06-23 12:15:45,21,14200,22999,0,0,20812,-2187,8799,5401,1
0000000000000000000155f23ebefa956f69d6ee6a4b1f122e3f7ac3730413f2,2025-06-23 13:43:26,1,14480,15760,0,0,13163,-2597,1280,13200,1
00000000000000000000cdc4fd3ff7bcdd9797aaf644431e0b575049d9b0d9f1,2025-06-23 17:08:59,1,14480,17064,0,0,16690,-374,2584,11896,1
00000000000000000000cdc4fd3ff7bcdd9797aaf644431e0b575049d9b0d9f1,2025-06-23 17:08:59,14,4356,17064,0,0,16690,-374,3996,360,3
00000000000000000001d746d507ae4d0b6d36ccfd1af822911f7ad5e07eabb0,2025-06-23 17:28:32,1,14480,23421,0,0,23421,0,8941,5539,1
00000000000000000001d11e684d31493eae806defe9789a962411dc5e188574,2025-06-23 17:34:32,5,14400,26610,0,0,26610,0,12210,2190,1
00000000000000000001d11e684d31493eae806defe9789a962411dc5e188574,2025-06-23 17:34:32,9,14400,26610,0,0,26610,0,12210,2190,1
00000000000000000001d11e684d31493eae806defe9789a962411dc5e188574,2025-06-23 17:34:32,10,11200,26610,0,0,26610,0,4210,6990,2
00000000000000000001d11e684d31493eae806defe9789a962411dc5e188574,2025-06-23 17:34:32,298,14280,26610,0,0,26610,0,12330,1950,1
00000000000000000000defb5338ba58a21830c47c6d246f6409b53fe0c5cf59,2025-06-23 19:03:22,581,14480,24052,0,0,23212,-840,9572,4908,1
00000000000000000000defb5338ba58a21830c47c6d246f6409b53fe0c5cf59,2025-06-23 19:03:22,5,11520,24052,0,0,23212,-840,1012,10508,2
00000000000000000000defb5338ba58a21830c47c6d246f6409b53fe0c5cf59,2025-06-23 19:03:22,14,5808,24052,0,0,23212,-840,820,4988,4
00000000000000000000defb5338ba58a21830c47c6d246f6409b53fe0c5cf59,2025-06-23 19:03:22,298,14280,24052,0,0,23212,-840,9772,4508,1
00000000000000000000defb5338ba58a21830c47c6d246f6409b53fe0c5cf59,2025-06-23 19:03:22,21,14200,24052,0,0,23212,-840,9852,4348,1
00000000000000000000270ff954cf68d153e0a24bc6071ce474af0b6bd1c9e4,2025-06-23 21:17:43,21,14200,30717,0,0,23949,-6768,2317,11883,2
0000000000000000000169861c9c763a83b71588ef54bf036e3169dce5fc3eaa,2025-06-24 00:07:21,5,11520,15700,0,0,15700,0,4180,7340,1
0000000000000000000169861c9c763a83b71588ef54bf036e3169dce5fc3eaa,2025-06-24 00:07:21,10,14000,15700,0,0,15700,0,1700,12300,1
0000000000000000000169861c9c763a83b71588ef54bf036e3169dce5fc3eaa,2025-06-24 00:07:21,1,14480,15700,0,0,15700,0,1220,13260,1
0000000000000000000169861c9c763a83b71588ef54bf036e3169dce5fc3eaa,2025-06-24 00:07:21,298,14280,15700,0,0,15700,0,1420,12860,1
000000000000000000014b2b8ca4bcd0ea9f66d93cda96d613384c7eb4c14347,2025-06-24 02:03:04,10,14000,32571,0,0,22245,-10326,4571,9429,2
00000000000000000001de0fb3dbfd5877e26eaf2fc2009825710139c43e0220,2025-06-24 03:46:39,14,8712,19010,0,0,19010,0,1586,7126,2
00000000000000000001de0fb3dbfd5877e26eaf2fc2009825710139c43e0220,2025-06-24 03:46:39,10,9800,19010,0,0,19010,0,9210,590,1
00000000000000000001de0fb3dbfd5877e26eaf2fc2009825710139c43e0220,2025-06-24 03:46:39,298,14280,19010,0,0,19010,0,4730,9550,1
00000000000000000000775e52bf1918683898e51a139f86a8d11a51668c7bc8,2025-06-24 06:42:14,1,14480,565,0,0,565,0,565,13915,0
000000000000000000000d6f8b66f31443d4ffbd969eac7e4d21f818cf927434,2025-06-24 07:53:37,10,11200,20236,0,0,19611,-625,9036,2164,1
000000000000000000000d6f8b66f31443d4ffbd969eac7e4d21f818cf927434,2025-06-24 07:53:37,298,11424,20236,0,0,19611,-625,8812,2612,1
000000000000000000000d6f8b66f31443d4ffbd969eac7e4d21f818cf927434,2025-06-24 07:53:37,14,10164,20236,0,0,19611,-625,10072,92,1
00000000000000000000879f97a5390e2a9ed3ef2657b72842cabd5828dbc9b3,2025-06-24 09:18:37,10,14000,15987,0,0,15987,0,1987,12013,1
000000000000000000021cb6572c5681a05f635eae6bb4dc7ad104883a1e8667,2025-06-24 10:19:04,10,14000,4884,0,0,4358,-526,4884,9116,0
00000000000000000001287bb8703e789fe2ae7df3901a9d300f1b4fa0452354,2025-06-24 11:02:11,298,14280,22319,0,0,22319,0,8039,6241,1
